개체번호,개체명,소유주,디자이너,분류,개체분류,개체설명,"비고(원본 특이사항, 검수참고용)"
001,쿠키앤크림 파르페 워터파컷,언쿠,,cold,,쿠키앤크림 프라페를 맛 보여 주기 위해 탄생한 워터파컷입니다. 신사적이고 고고한 성격을 가졌습니다.,
002,나무수액 워터파컷,히히히 님 @hihihi_calculus,,hot,,나무수액을 맛 보여 주기 위해 탄생한 워터파컷입니다. 싱그럽고 활기찬 성격을 가졌습니다.,
003,샹그리아 워터파컷,개미 님 @kimant_01,,cold,,<볼의 물 주머니가 없는 특별 개체> 샹그리아를 맛 보여 주기위해 탄생한 워터파컷입니다. 차분하고 예의바른 성격을 가졌습니다.,<디자인권 사용>
004,마그마 워터파컷,붹 님 @1o0one,,hot,,마그마를 맛 보여 주기위해 탄생한 워터파컷입니다. 용맹한 성격을 가졌습니다.,<디자인권 사용>
005,청포도 파르페 워터파컷,온점 님 @dkssud_0001,,cold,,청포도 파르페를 맛 보여 주기위해 탄생한 워터파컷입니다. 조용하고 시원시원한 성격을 가졌습니다.,<디자인권 사용>
006,크림소다 워터파컷,히히히 님 @hihihi_calculus,,cold,,크림소다를 맛 보여 주기위해 탄생한 워터파컷입니다. 소심하고 겁이 많은 성격을 가졌습니다.,<디자인권 사용>
007,카푸치노 키아로 워터파컷,hisa 님 @hisa_1_art,,hot,,카푸치노 키아로를 맛 보여 주기위해 탄생한 워터파컷입니다. 포근하고 호기심 많은 성격을 가졌습니다.,
008,새벽 옹달샘 워터파컷,고기파르페 님 @meat_parfat,,hot,,새벽 옹달샘을 맛 보여 주기위해 탄생한 워터파컷입니다. 너그럽고 활발한 성격을 가졌습니다.,
009,별을 보며 마신 목련꽃차 워터파컷,아리 님 @Byongari_1123,,hot,,목련꽃차를 맛 보여 주기위해 탄생한 워터파컷입니다. 나른함하고 포근하며 긍정적인 성격을 가졌습니다.,
010,복숭아 아이스티 워터파컷,냥콩 님 @디코,,cold,,<꼬리의 물 주머니가 큰 특별 개체> 복숭아 아이스티를 맛 보여 주기위해 탄생한 워터파컷입니다. 소심하고 조심스러운 성격을 가졌습니다.,
011,딸기 우유 워터파컷,폐사 님 @Non_Humanand,,hot,,딸기 우유를 맛 보여 주기위해 탄생한 워터파컷입니다. 상냥하고 포근한 성격을 가졌습니다.,<디자인권 사용>
012,푸른불로 끓인 뜨거운 물 워터파컷,그림쟁이J 님 @Grimmler_J_8900,,hot,,푸른불로 끓인 뜨거운 물을 맛 보여 주기위해 탄생한 워터파컷입니다. 밝고 장난끼많은 성격을 가졌습니다.,<디자인권 사용>
013,스파클링 와인 워터파컷,플로라 님 @Flor_aa23,,cold,,스파클링 와인을 맛 보여 주기위해 탄생한 워터파컷입니다. 타인에 무심하며 자존감이 높은 성격을 가졌습니다.,<디자인권 사용>
014,몬스터 에너지 망고로코 워터파컷,폐사 님 @Non_Humanand,,cold,,<꼬리의 물 주머니가 큰 특별 개체> 몬스터 에너지 망고로코을 맛 보여 주기위해 탄생한 워터파컷입니다. 빠른것을 좋아하고 시원한 성격을 가졌습니다.,<디자인권 사용>
